Room,Curiosity,Interest
Kindergarten,3,6
Museum,5,8
KTV,8,8
StorageRoom,3,3
Library,4,6
Classroom,6,6
LivingRoom,4,5
Office,4,6
SPA,9,7
MeetingRoom,4,3
Gym,4,6
Cafe,6,7
ArtStudio,2,4
Bedroom,6,8
Lounge,8,6
Kitchen,9,4

