"Item" "Order" "SubjectNo" "Room"
"PiggyBank" 5 "P17" "Bedroom"
"Mushroom" 6 "P17" "Bedroom"
"Typewriter" 1 "P17" "Classroom"
"Cabbaage" 2 "P17" "Classroom"
"Padella" 3 "P17" "Classroom"
"Openner" 4 "P17" "Classroom"
"HandDrill" 5 "P17" "Classroom"
"Headphones" 6 "P17" "Classroom"
"MokeExpress" 1 "P17" "Gym"
"Toaster" 2 "P17" "Gym"
"Calculator" 3 "P17" "Gym"
"NikonCamera" 4 "P17" "Gym"
"Kettle" 5 "P17" "Gym"
"MilkCarton" 6 "P17" "Gym"
"Spoons" 1 "P17" "Library"
"Paprika" 2 "P17" "Library"
"HTCViveController" 3 "P17" "Library"
"BaseballBat" 4 "P17" "Library"
"Mouse" 5 "P17" "Library"
"Squeezer" 6 "P17" "Library"
"SaltSub" 1 "P17" "LivingRoom"
"MechanicalGloves" 2 "P17" "LivingRoom"
"CleaningBucket" 3 "P17" "LivingRoom"
"RugbyBall" 4 "P17" "LivingRoom"
"Pineapple" 5 "P17" "LivingRoom"
"Grape" 6 "P17" "LivingRoom"
"PencilSharpener" 1 "P17" "StorageRoom"
"Avocado" 2 "P17" "StorageRoom"
"EggBeater" 3 "P17" "StorageRoom"
"Muffin" 4 "P17" "StorageRoom"
"JBLSpeaker" 5 "P17" "StorageRoom"
"Controller" 6 "P17" "StorageRoom"
"MobilePhone" 1 "P18" "Bedroom"
"Basket" 2 "P18" "Bedroom"
"UGGboot" 3 "P18" "Bedroom"
"DeskLight" 4 "P18" "Bedroom"
"Jug" 5 "P18" "Bedroom"
"Hammer" 6 "P18" "Bedroom"
"RockingHorse" 1 "P18" "Classroom"
"TennisBall" 2 "P18" "Classroom"
"Recorder" 3 "P18" "Classroom"
"Toothpaste" 4 "P18" "Classroom"
"Canister" 5 "P18" "Classroom"
"Glasses" 6 "P18" "Classroom"
"OldRadio" 1 "P18" "Gym"
"FirstAidKit" 2 "P18" "Gym"
"Pinza" 3 "P18" "Gym"
"Microphone" 4 "P18" "Gym"
"NailScissors" 5 "P18" "Gym"
"ShowerHead" 6 "P18" "Gym"
"CinRoll" 1 "P18" "Library"
"Router" 2 "P18" "Library"
"MosquitoRacket" 3 "P18" "Library"
"WineBottle" 4 "P18" "Library"
"Pumpkin" 5 "P18" "Library"
"StrawberryDonut" 6 "P18" "Library"
"Clamps" 1 "P18" "LivingRoom"
"BallonDog" 2 "P18" "LivingRoom"
"FireExtinguisher" 3 "P18" "LivingRoom"
"CoffeeMachine" 4 "P18" "LivingRoom"
"Matrioshka" 5 "P18" "LivingRoom"
"Official hat" 6 "P18" "LivingRoom"
"HTCVive" 1 "P18" "StorageRoom"
"Bread" 2 "P18" "StorageRoom"
"CokeCan" 3 "P18" "StorageRoom"
"Laptop" 4 "P18" "StorageRoom"
"PaperCoffeeCup" 5 "P18" "StorageRoom"
"Chaynik" 6 "P18" "StorageRoom"
"MilkCarton" 1 "P19" "Bedroom"
"Pineapple" 2 "P19" "Bedroom"
"Squeezer" 3 "P19" "Bedroom"
"BaseballBat" 4 "P19" "Bedroom"
"Stapler" 5 "P19" "Bedroom"
"Apple" 6 "P19" "Bedroom"
"Calculator" 1 "P19" "Classroom"
"JBLSpeaker" 2 "P19" "Classroom"
"Openner" 3 "P19" "Classroom"
"Padella" 4 "P19" "Classroom"
"Kettle" 5 "P19" "Classroom"
"MokeExpress" 6 "P19" "Classroom"
"Cabbaage" 1 "P19" "Gym"
"PencilSharpener" 2 "P19" "Gym"
"Paprika" 3 "P19" "Gym"
"Avocado" 4 "P19" "Gym"
"Headphones" 5 "P19" "Gym"
"Muffin" 6 "P19" "Gym"
"NikonCamera" 1 "P19" "Library"
"MechanicalGloves" 2 "P19" "Library"
"Teacup" 3 "P19" "Library"
"HandDrill" 4 "P19" "Library"
"CleaningBucket" 5 "P19" "Library"
"Typewriter" 6 "P19" "Library"
"Mouse" 1 "P19" "LivingRoom"
"Controller" 2 "P19" "LivingRoom"
"Toaster" 3 "P19" "LivingRoom"
"RugbyBall" 4 "P19" "LivingRoom"
"Grape" 5 "P19" "LivingRoom"
"SaltSub" 6 "P19" "LivingRoom"
"Mushroom" 1 "P19" "StorageRoom"
"OfficeBin" 2 "P19" "StorageRoom"
"PiggyBank" 3 "P19" "StorageRoom"
"HTCViveController" 4 "P19" "StorageRoom"
"EggBeater" 5 "P19" "StorageRoom"
"Spoons" 6 "P19" "StorageRoom"
"Chaynik" 1 "P20" "Bedroom"
"Canister" 2 "P20" "Bedroom"
"CinRoll" 3 "P20" "Bedroom"
"Matrioshka" 4 "P20" "Bedroom"
"Router" 5 "P20" "Bedroom"
"Pinza" 6 "P20" "Bedroom"
"WineBottle" 1 "P20" "Classroom"
"ShowerHead" 2 "P20" "Classroom"
"PaperCoffeeCup" 3 "P20" "Classroom"
"HTCVive" 4 "P20" "Classroom"
"Microphone" 5 "P20" "Classroom"
"Basket" 6 "P20" "Classroom"
"TennisBall" 1 "P20" "Gym"
"Recorder" 2 "P20" "Gym"
"DeskLight" 3 "P20" "Gym"
"CoffeeMachine" 4 "P20" "Gym"
"CokeCan" 5 "P20" "Gym"
"Clamps" 6 "P20" "Gym"
"UGGboot" 1 "P20" "Library"
"Official hat" 2 "P20" "Library"
"Jug" 3 "P20" "Library"
"Glasses" 4 "P20" "Library"
"FirstAidKit" 5 "P20" "Library"
"Pumpkin" 6 "P20" "Library"
"Laptop" 1 "P20" "LivingRoom"
"BallonDog" 2 "P20" "LivingRoom"
"Bread" 3 "P20" "LivingRoom"
"OldRadio" 4 "P20" "LivingRoom"
"MobilePhone" 5 "P20" "LivingRoom"
"StrawberryDonut" 6 "P20" "LivingRoom"
"Toothpaste" 1 "P20" "StorageRoom"
"RockingHorse" 2 "P20" "StorageRoom"
"FireExtinguisher" 3 "P20" "StorageRoom"
"Hammer" 4 "P20" "StorageRoom"
"MosquitoRacket" 5 "P20" "StorageRoom"
"NailScissors" 6 "P20" "StorageRoom"
"StrawberryDonut" 1 "P22" "Bedroom"
"CoffeeMachine" 2 "P22" "Bedroom"
"Bread" 3 "P22" "Bedroom"
"Jug" 4 "P22" "Bedroom"
"FireExtinguisher" 5 "P22" "Bedroom"
"Recorder" 6 "P22" "Bedroom"
"WineBottle" 1 "P22" "Classroom"
"CokeCan" 2 "P22" "Classroom"
"Matrioshka" 3 "P22" "Classroom"
"MosquitoRacket" 4 "P22" "Classroom"
"Laptop" 5 "P22" "Classroom"
"RockingHorse" 6 "P22" "Classroom"
"Chaynik" 1 "P22" "Library"
"ShowerHead" 2 "P22" "Library"
"PaperCoffeeCup" 3 "P22" "Library"
"Hammer" 4 "P22" "Library"
"OldRadio" 5 "P22" "Library"
"CinRoll" 6 "P22" "Library"
"Canister" 1 "P22" "LivingRoom"
"NailScissors" 2 "P22" "LivingRoom"
"Microphone" 3 "P22" "LivingRoom"
"FirstAidKit" 4 "P22" "LivingRoom"
"Router" 5 "P22" "LivingRoom"
"Toothpaste" 6 "P22" "LivingRoom"
"OfficeBin" 1 "P23" "Bedroom"
"Typewriter" 2 "P23" "Bedroom"
"MechanicalGloves" 3 "P23" "Bedroom"
"MilkCarton" 4 "P23" "Bedroom"
"HandDrill" 5 "P23" "Bedroom"
"Spoons" 6 "P23" "Bedroom"
"Toaster" 1 "P23" "Classroom"
"HTCViveController" 2 "P23" "Classroom"
"Avocado" 3 "P23" "Classroom"
"RugbyBall" 4 "P23" "Classroom"
"Kettle" 5 "P23" "Classroom"
"PencilSharpener" 6 "P23" "Classroom"
"Mushroom" 1 "P23" "Gym"
"Controller" 2 "P23" "Gym"
"CleaningBucket" 3 "P23" "Gym"
"Paprika" 4 "P23" "Gym"
"MokeExpress" 5 "P23" "Gym"
"PiggyBank" 6 "P23" "Gym"
"Openner" 1 "P23" "Library"
"EggBeater" 2 "P23" "Library"
"NikonCamera" 3 "P23" "Library"
"Calculator" 4 "P23" "Library"
"JBLSpeaker" 5 "P23" "Library"
"Muffin" 6 "P23" "Library"
"Apple" 1 "P23" "LivingRoom"
"BaseballBat" 2 "P23" "LivingRoom"
"Cabbaage" 3 "P23" "LivingRoom"
"Padella" 4 "P23" "LivingRoom"
"Squeezer" 5 "P23" "LivingRoom"
"Stapler" 6 "P23" "LivingRoom"
"Grape" 1 "P23" "StorageRoom"
"SaltSub" 2 "P23" "StorageRoom"
"Mouse" 3 "P23" "StorageRoom"
"Teacup" 4 "P23" "StorageRoom"
"Headphones" 5 "P23" "StorageRoom"
"Pineapple" 6 "P23" "StorageRoom"
"Jug" 1 "P24" "Bedroom"
"PaperCoffeeCup" 2 "P24" "Bedroom"
"Basket" 3 "P24" "Bedroom"
"ShowerHead" 4 "P24" "Bedroom"
"CokeCan" 5 "P24" "Bedroom"
"WineBottle" 6 "P24" "Bedroom"
"Pumpkin" 1 "P24" "Classroom"
"MosquitoRacket" 2 "P24" "Classroom"
"CoffeeMachine" 3 "P24" "Classroom"
"Official hat" 4 "P24" "Classroom"
"UGGboot" 5 "P24" "Classroom"
"Canister" 6 "P24" "Classroom"
"Microphone" 1 "P24" "Gym"
"Glasses" 2 "P24" "Gym"
"Chaynik" 3 "P24" "Gym"
"DeskLight" 4 "P24" "Gym"
"OldRadio" 5 "P24" "Gym"
"TennisBall" 6 "P24" "Gym"
"Pinza" 1 "P24" "Library"
"Recorder" 2 "P24" "Library"
"NailScissors" 3 "P24" "Library"
"Toothpaste" 4 "P24" "Library"
"Router" 5 "P24" "Library"
"Bread" 6 "P24" "Library"
