Room,Curiosity,Interest
KTV,7,6
MeetingRoom,4,3
Museum,5,3
Office,2,7
Gym,7,8
Classroom,8,4
Cafe,6,9
ArtStudio,8,8
Library,7,9
Bedroom,9,9
StorageRoom,2,2
Lounge,6,8
Kindergarten,4,5
Kitchen,9,9
SPA,7,8
LivingRoom,6,6

