Room,BoxPos_X,BoxPos_Y,BoxPos_Z
Bedroom,-3.484741,0.3100001,9.759576
Bedroom,6.75438,0.3102891,10.75547
Bedroom,1.587465,3.343739,14.33605
Bedroom,-1.276332,0.31,7.678824
Bedroom,0.2452328,0.8700038,15.54876
Bedroom,-2.637642,0.309999,0.7734532

