Room,Curiosity,Interest
Kitchen,8,7
ArtStudio,10,10
MeetingRoom,2,4
Museum,10,10
Classroom,3,2
Kindergarten,4,4
Gym,3,4
StorageRoom,4,3
Cafe,4,4
Library,4,4
Lounge,3,3
Office,3,3
SPA,4,5
KTV,5,4
LivingRoom,4,3
Bedroom,6,3

