Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
Bedroom,Apple,-2.079893,0.3,10.90347
Bedroom,Kettle,-7.235489,0.3,16.25711
Bedroom,BaseballBat,1.427202,3,14.4435
Bedroom,HandDrill,-6.661146,2.3,6.418103
Bedroom,Teacup,5.938406,1.3,9.802208
Bedroom,Stapler,2.200049,0.3,0.4097116

