BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,0.8,9.6,44.2,Avocado,Right
2,-7.5,9.6,44,MechanicalGloves,Right
3,-7,9.6,56,SaltSub,Right
4,-1,9.6,57,Typewriter,Left
5,5,9.6,55,PiggyBank,Left
6,7.25,9.6,50,HTCViveController,Right

