Room,Curiosity,Interest
KTV,7,8
Museum,9,7
Kindergarten,10,10
StorageRoom,1,1
MeetingRoom,2,5
Library,7,8
Office,2,3
Bedroom,5,9
Gym,8,6
Kitchen,10,9
Classroom,7,6
LivingRoom,6,6
Lounge,5,5
SPA,6,8
ArtStudio,8,9
Cafe,9,7

