Room,Curiosity,Interest
Museum,9,9
StorageRoom,6,1
Kindergarten,7,8
ArtStudio,10,9
Lounge,4,6
Office,3,5
MeetingRoom,2,1
LivingRoom,4,5
Cafe,5,4
Kitchen,1,2
Gym,1,1
SPA,8,9
KTV,7,6
Classroom,5,1
Bedroom,8,9
Library,5,6

