"Item" "Order" "SubjectNo" "Room"
"MilkCarton" 1 "P34" "Bedroom"
"Squeezer" 2 "P34" "Bedroom"
"Teacup" 3 "P34" "Bedroom"
"Muffin" 4 "P34" "Bedroom"
"NikonCamera" 5 "P34" "Bedroom"
"SaltSub" 6 "P34" "Bedroom"
"Grape" 1 "P34" "Classroom"
"PiggyBank" 2 "P34" "Classroom"
"BaseballBat" 3 "P34" "Classroom"
"JBLSpeaker" 4 "P34" "Classroom"
"Openner" 5 "P34" "Classroom"
"Pineapple" 6 "P34" "Classroom"
"Mouse" 1 "P34" "Gym"
"Apple" 2 "P34" "Gym"
"Stapler" 3 "P34" "Gym"
"Mushroom" 4 "P34" "Gym"
"RugbyBall" 5 "P34" "Gym"
"HandDrill" 6 "P34" "Gym"
"Kettle" 1 "P34" "Library"
"Padella" 2 "P34" "Library"
"Headphones" 3 "P34" "Library"
"MokeExpress" 4 "P34" "Library"
"Typewriter" 5 "P34" "Library"
"Controller" 6 "P34" "Library"
"EggBeater" 1 "P34" "LivingRoom"
"PencilSharpener" 2 "P34" "LivingRoom"
"Spoons" 3 "P34" "LivingRoom"
"MechanicalGloves" 4 "P34" "LivingRoom"
"Paprika" 5 "P34" "LivingRoom"
"Cabbaage" 6 "P34" "LivingRoom"
"CleaningBucket" 1 "P34" "StorageRoom"
"Toaster" 2 "P34" "StorageRoom"
"OfficeBin" 3 "P34" "StorageRoom"
"Calculator" 4 "P34" "StorageRoom"
"Avocado" 5 "P34" "StorageRoom"
"HTCViveController" 6 "P34" "StorageRoom"
