BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-7,9.6,56,Muffin,Left
2,-7.5,9.6,44,NikonCamera,Right
3,0.8,9.6,44.2,PiggyBank,Left
4,7.25,9.6,50,MokeExpress,Right
5,5,9.6,55,Headphones,Right
6,-1,9.6,57,Paprika,Right

