"SubjectNo" "ItemOrderType" "CuriosityRatingType" "Accuracy" "SeenHit" "ContextAccuracy"
"P01" "Early" "High" 0.666666666666667 0.555555555555556 0.333333333333333
"P01" "Late" "High" 0.444444444444444 0.444444444444444 0.222222222222222
"P01" "Early" "Low" 0.666666666666667 0.666666666666667 0.5
"P01" "Late" "Low" 0.666666666666667 0.666666666666667 0.5
"P02" "Late" "Low" 1 1 0
"P02" "Early" "Low" 1 0.666666666666667 0.333333333333333
"P02" "Late" "High" 1 1 0.333333333333333
"P02" "Early" "High" 0.666666666666667 0.666666666666667 0
"P03" "Early" "High" 0.444444444444444 0.444444444444444 0.111111111111111
"P03" "Late" "High" 0.666666666666667 0.666666666666667 0
"P03" "Late" "Low" 1 1 0
"P03" "Early" "Low" 0.666666666666667 0.5 0.166666666666667
"P04" "Early" "High" 0.833333333333333 0.833333333333333 0
"P04" "Late" "High" 1 1 0.5
"P04" "Early" "Low" 1 0.888888888888889 0.444444444444444
"P04" "Late" "Low" 1 1 0.111111111111111
"P05" "Early" "Low" 0.777777777777778 0.777777777777778 0.333333333333333
"P05" "Late" "Low" 0.666666666666667 0.666666666666667 0.444444444444444
"P05" "Late" "High" 0.555555555555556 0.555555555555556 0.333333333333333
"P05" "Early" "High" 0.888888888888889 0.888888888888889 0.777777777777778
"P06" "Early" "Low" 1 0.888888888888889 0.666666666666667
"P06" "Late" "Low" 0.777777777777778 0.777777777777778 0.444444444444444
"P06" "Late" "High" 0.666666666666667 0.666666666666667 0.333333333333333
"P06" "Early" "High" 1 0.666666666666667 0.333333333333333
"P07" "Late" "High" 0.933333333333333 0.933333333333333 0.333333333333333
"P07" "Early" "High" 0.866666666666667 0.733333333333333 0.533333333333333
"P08" "Late" "High" 0.777777777777778 0.777777777777778 0.444444444444444
"P08" "Early" "High" 0.666666666666667 0.666666666666667 0.555555555555556
"P08" "Late" "Low" 0.777777777777778 0.777777777777778 0.444444444444444
"P08" "Early" "Low" 1 1 0.777777777777778
"P09" "Late" "Low" 0.888888888888889 0.777777777777778 0.444444444444444
"P09" "Early" "Low" 0.888888888888889 0.555555555555556 0.333333333333333
"P09" "Early" "High" 0.888888888888889 0.777777777777778 0.444444444444444
"P09" "Late" "High" 0.888888888888889 0.777777777777778 0.555555555555556
"P10" "Late" "Low" 1 1 0.777777777777778
"P10" "Early" "Low" 0.888888888888889 0.777777777777778 0.555555555555556
"P10" "Early" "High" 1 0.777777777777778 0.777777777777778
"P10" "Late" "High" 1 0.777777777777778 0.777777777777778
"P11" "Late" "High" 0.428571428571429 0.428571428571429 0.285714285714286
"P11" "Early" "High" 0.888888888888889 0.888888888888889 0.333333333333333
"P12" "Late" "Low" 0.777777777777778 0.666666666666667 0.666666666666667
"P12" "Early" "Low" 1 0.777777777777778 0.444444444444444
"P12" "Late" "High" 0.777777777777778 0.444444444444444 0.555555555555556
"P12" "Early" "High" 0.777777777777778 0.777777777777778 0.555555555555556
"P25" "Late" "High" 0.777777777777778 0.555555555555556 0.333333333333333
"P25" "Early" "High" 1 1 0.777777777777778
"P25" "Late" "Low" 1 0.777777777777778 0.666666666666667
"P25" "Early" "Low" 0.777777777777778 0.777777777777778 0.666666666666667
