"SubjectNo" "Room" "Group" "CuriosityRating" "RoomOrder" "ItemFAR" "ItemAccuracy" "ContextAccuracy" "HitRate" "SeenHit" "CorrSeenHit"
"P01" "Bedroom" "Familiar" 5 "First" 0 0.833333333333333 0.5 0.833333333333333 0.666666666666667 0.666666666666667
"P01" "Classroom" "Familiar" 3 "Second" 0 0.5 0.333333333333333 0.5 0.5 0.5
"P01" "Gym" "Familiar" 3 "Second" 0 0.833333333333333 0.666666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P01" "LivingRoom" "Novel" 7 "Second" 0 0.666666666666667 0.333333333333333 0.666666666666667 0.666666666666667 0.666666666666667
"P01" "Library" "Novel" 4 "First" 0 0.666666666666667 0.166666666666667 0.666666666666667 0.5 0.5
"P01" "StorageRoom" "Novel" 7 "First" 0 0.166666666666667 0 0.166666666666667 0.166666666666667 0.166666666666667
"P02" "Bedroom" "Familiar" 4 "Second" 0.315789473684211 0.684210526315789 1 1 1 1
"P02" "Classroom" "Familiar" 4 "Second" 0.315789473684211 0.284210526315789 0.2 0.6 0.4 0.4
"P02" "Gym" "Familiar" 3 "Second" 0.315789473684211 0.684210526315789 0.166666666666667 1 0.833333333333333 0.833333333333333
"P02" "LivingRoom" "Novel" 5 "First" 0.315789473684211 0.517543859649123 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P02" "Library" "Novel" 4 "First" 0.315789473684211 0.517543859649123 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P02" "StorageRoom" "Novel" 4 "First" 0.315789473684211 0.517543859649123 0.333333333333333 0.833333333333333 0.666666666666667 0.666666666666667
"P03" "Bedroom" "Familiar" 5 "First" 0.15 0.35 0 0.5 0.5 0.5
"P03" "Classroom" "Familiar" 4 "Second" 0.15 0.65 0.4 0.8 0.8 0.8
"P03" "Gym" "Familiar" 1 "Second" 0.15 0.45 0 0.6 0.6 0.6
"P03" "LivingRoom" "Novel" 7 "Second" 0.15 0.35 0.166666666666667 0.5 0.5 0.5
"P03" "Library" "Novel" 7 "First" 0.15 0.516666666666667 0 0.666666666666667 0.666666666666667 0.666666666666667
"P03" "StorageRoom" "Novel" 3 "First" 0.15 0.85 0.166666666666667 1 0.833333333333333 0.833333333333333
"P04" "Bedroom" "Familiar" 5 "First" 0.315789473684211 0.517543859649123 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P04" "Classroom" "Familiar" 3 "Second" 0.315789473684211 0.684210526315789 0.5 1 1 1
"P04" "Gym" "Familiar" 5 "Second" 0.315789473684211 0.684210526315789 0.333333333333333 1 1 1
"P04" "LivingRoom" "Novel" 3 "Second" 0.315789473684211 0.684210526315789 0 1 0.833333333333333 0.833333333333333
"P04" "Library" "Novel" 4 "First" 0.315789473684211 0.684210526315789 0.2 1 0.8 0.8
"P04" "StorageRoom" "Novel" 3 "First" 0.315789473684211 0.684210526315789 0.333333333333333 1 1 1
"P05" "Bedroom" "Familiar" 1 "Second" 0 1 0.666666666666667 1 1 1
"P05" "Classroom" "Familiar" 1 "Second" 0 0.5 0.5 0.5 0.5 0.5
"P05" "Gym" "Familiar" 1 "Second" 0 0.666666666666667 0 0.666666666666667 0.666666666666667 0.666666666666667
"P05" "LivingRoom" "Novel" 7 "First" 0 0.666666666666667 0.166666666666667 0.666666666666667 0.666666666666667 0.666666666666667
"P05" "Library" "Novel" 7 "First" 0 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667
"P05" "StorageRoom" "Novel" 7 "First" 0 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333
"P06" "Bedroom" "Familiar" 4 "Second" 0 1 0.5 1 1 1
"P06" "Classroom" "Familiar" 3 "Second" 0 0.833333333333333 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667
"P06" "Gym" "Familiar" 3 "Second" 0 0.833333333333333 0.5 0.833333333333333 0.833333333333333 0.833333333333333
"P06" "LivingRoom" "Novel" 6 "First" 0 0.833333333333333 0.333333333333333 0.833333333333333 0.666666666666667 0.666666666666667
