"SubjectNo" "Room" "Group" "CuriosityRating" "RoomOrder" "ItemFAR" "ItemAccuracy" "ContextAccuracy" "HitRate" "SeenHit" "CorrSeenHit"
"P01" "Bedroom" "Familiar" 5 "First" 0.111111111111111 0.222222222222222 0 0.333333333333333 0.333333333333333 0.333333333333333
"P01" "Classroom" "Familiar" 3 "Second" 0.111111111111111 0.222222222222222 0 0.333333333333333 0.333333333333333 0.333333333333333
"P01" "Gym" "Familiar" 3 "Second" 0.111111111111111 0.722222222222222 0 0.833333333333333 0.833333333333333 0.833333333333333
"P01" "LivingRoom" "Novel" 7 "Second" 0.111111111111111 0.722222222222222 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P01" "Library" "Novel" 4 "First" 0.111111111111111 0.555555555555556 0 0.666666666666667 0.5 0.5
"P01" "StorageRoom" "Novel" 7 "First" 0.111111111111111 0.222222222222222 0 0.333333333333333 0.333333333333333 0.333333333333333
"P02" "Bedroom" "Familiar" 4 "Second" 0.166666666666667 0.333333333333333 0 0.5 0.333333333333333 0.333333333333333
"P02" "Classroom" "Familiar" 4 "Second" 0.166666666666667 0.833333333333333 0.333333333333333 1 0.5 0.5
"P02" "Gym" "Familiar" 3 "Second" 0.166666666666667 0.333333333333333 0.166666666666667 0.5 0.333333333333333 0.333333333333333
"P02" "LivingRoom" "Novel" 5 "First" 0.166666666666667 0.333333333333333 0.166666666666667 0.5 0.333333333333333 0.333333333333333
"P02" "Library" "Novel" 4 "First" 0.166666666666667 0.833333333333333 0.333333333333333 1 0.5 0.5
"P02" "StorageRoom" "Novel" 4 "First" 0.166666666666667 0.666666666666667 0.166666666666667 0.833333333333333 0.5 0.5
"P03" "Bedroom" "Familiar" 5 "First" 0.388888888888889 0 0.166666666666667 0.333333333333333 0 0
"P03" "Classroom" "Familiar" 4 "Second" 0.388888888888889 0.611111111111111 0.666666666666667 1 0.333333333333333 0.333333333333333
"P03" "Gym" "Familiar" 1 "Second" 0.388888888888889 0 0 0.333333333333333 0 0
"P03" "LivingRoom" "Novel" 7 "Second" 0.388888888888889 0 0 0.166666666666667 0 0
"P03" "Library" "Novel" 7 "First" 0.388888888888889 0 0 0.333333333333333 0 0
