"SubjectNo","Context","Group","CurRating","RoomOrder","Duration","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P01","Bedroom","Familiar",5,"First",NA,0.833333333333333,0.666666666666667,0.5,0,0,0.0185185185185185,0.833333333333333,0.666666666666667,0.481481481481482
"P01","Classroom","Familiar",3,"Second",NA,0.5,0.5,0.333333333333333,0,0,0.0185185185185185,0.5,0.5,0.314814814814815
"P01","Gym","Familiar",3,"Second",NA,0.833333333333333,0.833333333333333,0.666666666666667,0,0,0.0185185185185185,0.833333333333333,0.833333333333333,0.648148148148148
"P01","Library","Novel",4,"First",NA,0.666666666666667,0.5,0.166666666666667,0,0,0.0185185185185185,0.666666666666667,0.5,0.148148148148148
"P01","LivingRoom","Novel",7,"Second",NA,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0.0185185185185185,0.666666666666667,0.666666666666667,0.314814814814815
"P01","StorageRoom","Novel",7,"First",NA,0.166666666666667,0.166666666666667,0,0,0,0.0185185185185185,0.166666666666667,0.166666666666667,-0.0185185185185185
"P02","Bedroom","Familiar",4,"Second",NA,1,1,1,0.315789473684211,0,0.0175438596491228,0.684210526315789,1,0.982456140350877
"P02","Classroom","Familiar",4,"Second",NA,0.6,0.4,0.2,0.315789473684211,0,0.0175438596491228,0.284210526315789,0.4,0.182456140350877
"P02","Gym","Familiar",3,"Second",NA,1,0.833333333333333,0.166666666666667,0.315789473684211,0,0.0175438596491228,0.684210526315789,0.833333333333333,0.149122807017544
"P02","Library","Novel",4,"First",NA,0.833333333333333,0.833333333333333,0.166666666666667,0.315789473684211,0,0.0175438596491228,0.517543859649123,0.833333333333333,0.149122807017544
"P02","LivingRoom","Novel",5,"First",NA,0.833333333333333,0.833333333333333,0.166666666666667,0.315789473684211,0,0.0175438596491228,0.517543859649123,0.833333333333333,0.149122807017544
"P02","StorageRoom","Novel",4,"First",NA,0.833333333333333,0.666666666666667,0.333333333333333,0.315789473684211,0,0.0175438596491228,0.517543859649123,0.666666666666667,0.315789473684211
"P03","Bedroom","Familiar",5,"First",NA,0.5,0.5,0,0.15,0.05,0.05,0.35,0.45,-0.05
"P03","Classroom","Familiar",4,"Second",NA,0.8,0.8,0.4,0.15,0.05,0.05,0.65,0.75,0.35
"P03","Gym","Familiar",1,"Second",NA,0.6,0.6,0,0.15,0.05,0.05,0.45,0.55,-0.05
"P03","Library","Novel",7,"First",NA,0.666666666666667,0.666666666666667,0,0.15,0.05,0.05,0.516666666666667,0.616666666666667,-0.05
"P03","LivingRoom","Novel",7,"Second",NA,0.5,0.5,0.166666666666667,0.15,0.05,0.05,0.35,0.45,0.116666666666667
"P03","StorageRoom","Novel",3,"First",NA,1,0.833333333333333,0.166666666666667,0.15,0.05,0.05,0.85,0.783333333333333,0.116666666666667
"P04","Bedroom","Familiar",5,"First",NA,0.833333333333333,0.833333333333333,0.166666666666667,0.315789473684211,0.263157894736842,0.0350877192982456,0.517543859649123,0.570175438596491,0.131578947368421
"P04","Classroom","Familiar",3,"Second",NA,1,1,0.5,0.315789473684211,0.263157894736842,0.0350877192982456,0.684210526315789,0.736842105263158,0.464912280701754
"P04","Gym","Familiar",5,"Second",NA,1,1,0.333333333333333,0.315789473684211,0.263157894736842,0.0350877192982456,0.684210526315789,0.736842105263158,0.298245614035088
"P04","Library","Novel",4,"First",NA,1,0.8,0.2,0.315789473684211,0.263157894736842,0.0350877192982456,0.684210526315789,0.536842105263158,0.164912280701754
"P04","LivingRoom","Novel",3,"Second",NA,1,0.833333333333333,0,0.315789473684211,0.263157894736842,0.0350877192982456,0.684210526315789,0.570175438596491,-0.0350877192982456
"P04","StorageRoom","Novel",3,"First",NA,1,1,0.333333333333333,0.315789473684211,0.263157894736842,0.0350877192982456,0.684210526315789,0.736842105263158,0.298245614035088
"P05","Bedroom","Familiar",1,"Second",NA,1,1,0.666666666666667,0,0,0,1,1,0.666666666666667
"P05","Classroom","Familiar",1,"Second",NA,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5
"P05","Gym","Familiar",1,"Second",NA,0.666666666666667,0.666666666666667,0,0,0,0,0.666666666666667,0.666666666666667,0
"P05","Library","Novel",7,"First",NA,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"P05","LivingRoom","Novel",7,"First",NA,0.666666666666667,0.666666666666667,0.166666666666667,0,0,0,0.666666666666667,0.666666666666667,0.166666666666667
"P05","StorageRoom","Novel",7,"First",NA,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333
"P06","Bedroom","Familiar",4,"Second",NA,1,1,0.5,0,0,0,1,1,0.5
"P06","Classroom","Familiar",3,"Second",NA,0.833333333333333,0.666666666666667,0.666666666666667,0,0,0,0.833333333333333,0.666666666666667,0.666666666666667
"P06","Gym","Familiar",3,"Second",NA,0.833333333333333,0.833333333333333,0.5,0,0,0,0.833333333333333,0.833333333333333,0.5
"P06","Library","Novel",3,"First",NA,1,1,0.5,0,0,0,1,1,0.5
"P06","LivingRoom","Novel",6,"First",NA,0.833333333333333,0.666666666666667,0.333333333333333,0,0,0,0.833333333333333,0.666666666666667,0.333333333333333
"P06","StorageRoom","Novel",6,"First",NA,1,0.8,0.4,0,0,0,1,0.8,0.4
