"SubjectNo","Group","MeanCurRt","MeanDur","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P67","Familiar",2,21.5710280966667,0.722222222222222,0.611111111111111,0.277777777777778,0.444444444444444,0.166666666666667,0.111111111111111,0.277777777777778,0.444444444444445,0.166666666666667
"P67","Novel",5.33333333333333,22.8950888366667,0.777777777777778,0.611111111111111,0.166666666666667,0.444444444444444,0.166666666666667,0.111111111111111,0.333333333333333,0.444444444444445,0.0555555555555556
"P68","Familiar",3,29.4280727233333,0.611111111111111,0.388888888888889,0.222222222222222,0.111111111111111,0,0.037037037037037,0.5,0.388888888888889,0.185185185185185
"P68","Novel",6.66666666666667,28.3395000233333,0.888888888888889,0.5,0.333333333333333,0.111111111111111,0,0.037037037037037,0.777777777777778,0.5,0.296296296296296
"P69","Familiar",1.33333333333333,22.89819023,0.777777777777778,0.5,0.166666666666667,0.111111111111111,0,0,0.666666666666667,0.5,0.166666666666667
"P69","Novel",4.66666666666667,32.5865111233333,0.666666666666667,0.611111111111111,0.388888888888889,0.111111111111111,0,0,0.555555555555556,0.611111111111111,0.388888888888889
"P70","Familiar",2.66666666666667,26.8930102133333,0.555555555555556,0.388888888888889,0.222222222222222,0.333333333333333,0,0.111111111111111,0.222222222222222,0.388888888888889,0.111111111111111
"P70","Novel",6,28.9658443766667,0.5,0.277777777777778,0.166666666666667,0.333333333333333,0,0.111111111111111,0.166666666666667,0.277777777777778,0.0555555555555556
"P71","Familiar",2,25.4567120633333,0.444444444444444,0.111111111111111,0.0555555555555556,0.388888888888889,0.166666666666667,0.148148148148148,0.0555555555555555,-0.0555555555555556,-0.0925925925925926
"P71","Novel",6,28.5456791566667,0.611111111111111,0.333333333333333,0.388888888888889,0.388888888888889,0.166666666666667,0.148148148148148,0.222222222222222,0.166666666666667,0.240740740740741
"P72","Familiar",5.33333333333333,24.58926361,0.555555555555556,0.166666666666667,0.222222222222222,0.222222222222222,0,0.0740740740740741,0.333333333333333,0.166666666666667,0.148148148148148
"P72","Novel",2,26.8993024766667,0.611111111111111,0.222222222222222,0.111111111111111,0.222222222222222,0,0.0740740740740741,0.388888888888889,0.222222222222222,0.037037037037037
"P73","Familiar",6.33333333333333,29.23849599,0.777777777777778,0.5,0.277777777777778,0.0555555555555556,0,0.0185185185185185,0.722222222222222,0.5,0.259259259259259
"P73","Novel",2,27.31159913,0.444444444444444,0.0555555555555556,0,0.0555555555555556,0,0.0185185185185185,0.388888888888889,0.0555555555555556,-0.0185185185185185
"P74","Familiar",2,27.2080563933333,0.277777777777778,0.222222222222222,0.166666666666667,0.166666666666667,0.0555555555555556,0.0555555555555556,0.111111111111111,0.166666666666667,0.111111111111111
"P74","Novel",5.33333333333333,29.2740951266667,0.277777777777778,0.166666666666667,0.222222222222222,0.166666666666667,0.0555555555555556,0.0555555555555556,0.111111111111111,0.111111111111111,0.166666666666667
"P75","Familiar",3.33333333333333,31.9805950666667,0.666666666666667,0.444444444444444,0.0555555555555556,0.277777777777778,0,0.0925925925925926,0.388888888888889,0.444444444444444,-0.037037037037037
"P75","Novel",6.66666666666667,28.09415604,0.666666666666667,0.5,0.166666666666667,0.277777777777778,0,0.0925925925925926,0.388888888888889,0.5,0.0740740740740741
"P76","Familiar",4.66666666666667,27.843794,0.388888888888889,0.222222222222222,0.222222222222222,0.333333333333333,0,0.111111111111111,0.0555555555555556,0.222222222222222,0.111111111111111
"P76","Novel",2.33333333333333,26.4825324133333,0.444444444444444,0.277777777777778,0.0555555555555556,0.333333333333333,0,0.111111111111111,0.111111111111111,0.277777777777778,-0.0555555555555556
"P77","Familiar",3.66666666666667,29.5205113766667,0.277777777777778,0.111111111111111,0.222222222222222,0.0555555555555556,0,0.037037037037037,0.222222222222222,0.111111111111111,0.185185185185185
"P77","Novel",3.33333333333333,26.1118264666667,0.333333333333333,0.0555555555555556,0.166666666666667,0.0555555555555556,0,0.037037037037037,0.277777777777778,0.0555555555555556,0.12962962962963
"P78","Familiar",2,27.8477028166667,0.5,0.388888888888889,0.277777777777778,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.388888888888889,0.222222222222222
"P78","Novel",5.66666666666667,28.1665411133333,0.666666666666667,0.611111111111111,0.333333333333333,0.166666666666667,0,0.0555555555555556,0.5,0.611111111111111,0.277777777777778
"P79","Familiar",1.33333333333333,30.3227637466667,0.444444444444444,0.222222222222222,0.0555555555555556,0.222222222222222,0,0.0740740740740741,0.222222222222222,0.222222222222222,-0.0185185185185185
"P79","Novel",5.66666666666667,31.1953159166667,0.555555555555556,0.333333333333333,0.222222222222222,0.222222222222222,0,0.0740740740740741,0.333333333333333,0.333333333333333,0.148148148148148
"P80","Familiar",4.66666666666667,30.6018231,0.611111111111111,0.444444444444444,0.333333333333333,0.222222222222222,0.111111111111111,0.0925925925925926,0.388888888888889,0.333333333333333,0.240740740740741
"P80","Novel",1,27.6066538166667,0.5,0.333333333333333,0.222222222222222,0.222222222222222,0.111111111111111,0.0925925925925926,0.277777777777778,0.222222222222222,0.12962962962963
"P81","Familiar",6,24.82108885,0.388888888888889,0.277777777777778,0.111111111111111,0.277777777777778,0.0555555555555556,0.0555555555555556,0.111111111111111,0.222222222222222,0.0555555555555556
"P81","Novel",2.33333333333333,23.1934331566667,0.722222222222222,0.5,0.166666666666667,0.277777777777778,0.0555555555555556,0.0555555555555556,0.444444444444444,0.444444444444444,0.111111111111111
"P82","Familiar",1.33333333333333,25.06274129,0.944444444444444,0.444444444444444,0.277777777777778,0.444444444444444,0,0.148148148148148,0.5,0.444444444444444,0.12962962962963
"P82","Novel",5.33333333333333,25.0112034966667,0.722222222222222,0.388888888888889,0.222222222222222,0.444444444444444,0,0.148148148148148,0.277777777777778,0.388888888888889,0.0740740740740741
"P83","Familiar",2.66666666666667,30.43165175,0.722222222222222,0.388888888888889,0.222222222222222,0.0555555555555556,0,0.0185185185185185,0.666666666666667,0.388888888888889,0.203703703703704
"P83","Novel",6,29.3556681166667,0.777777777777778,0.555555555555556,0.5,0.0555555555555556,0,0.0185185185185185,0.722222222222222,0.555555555555556,0.481481481481482
"P84","Familiar",4.66666666666667,23.98126264,0.388888888888889,0.166666666666667,0.0555555555555556,0.388888888888889,0.0555555555555556,0.148148148148148,0,0.111111111111111,-0.0925925925925926
"P84","Novel",1.66666666666667,22.72628265,0.5,0.166666666666667,0.222222222222222,0.388888888888889,0.0555555555555556,0.148148148148148,0.111111111111111,0.111111111111111,0.0740740740740741
"P85","Familiar",6.33333333333333,31.0984944633333,0.722222222222222,0.5,0.5,0.333333333333333,0,0.111111111111111,0.388888888888889,0.5,0.388888888888889
"P85","Novel",1.33333333333333,29.4589772266667,0.722222222222222,0.444444444444444,0.444444444444444,0.333333333333333,0,0.111111111111111,0.388888888888889,0.444444444444444,0.333333333333333
"P86","Familiar",3,26.59735077,0.555555555555556,0.222222222222222,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.0555555555555556,0.0555555555555556,0
"P86","Novel",6.33333333333333,26.12727569,0.888888888888889,0.444444444444444,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.388888888888889,0.277777777777778,0
"P87","Familiar",2.33333333333333,27.2731418466667,0.444444444444444,0.388888888888889,0.111111111111111,0.111111111111111,0,0.037037037037037,0.333333333333333,0.388888888888889,0.0740740740740741
"P87","Novel",6,29.3973860266667,0.888888888888889,0.444444444444444,0.5,0.111111111111111,0,0.037037037037037,0.777777777777778,0.444444444444444,0.462962962962963
