BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-2.25,9.6,53,Glasses,Right
2,6,9.6,51.8,PaperCoffeeCup,Left
3,-7,9.6,58,Basket,Right
4,1.6,12.55,56.7,UGGboot,Right
5,-7,11.02,49.5,NailScissors,Right
6,2,9.6,43,DeskLight,Right

