"Item" "Order" "SubjectNo" "Room"
"HTCViveController" 1 "P76" "Bedroom"
"BaseballBat" 2 "P76" "Bedroom"
"Paprika" 3 "P76" "Bedroom"
"CleaningBucket" 4 "P76" "Bedroom"
"Teacup" 5 "P76" "Bedroom"
"NikonCamera" 6 "P76" "Bedroom"
"Stapler" 1 "P76" "Classroom"
"Openner" 2 "P76" "Classroom"
"Squeezer" 3 "P76" "Classroom"
"Headphones" 4 "P76" "Classroom"
"MechanicalGloves" 5 "P76" "Classroom"
"Mushroom" 6 "P76" "Classroom"
"MilkCarton" 1 "P76" "Gym"
"Pineapple" 2 "P76" "Gym"
"HandDrill" 3 "P76" "Gym"
"Toaster" 4 "P76" "Gym"
"JBLSpeaker" 5 "P76" "Gym"
"Mouse" 6 "P76" "Gym"
"Muffin" 1 "P76" "Library"
"Avocado" 2 "P76" "Library"
"PencilSharpener" 3 "P76" "Library"
"Grape" 4 "P76" "Library"
"Controller" 5 "P76" "Library"
"RugbyBall" 6 "P76" "Library"
"Kettle" 1 "P76" "LivingRoom"
"Apple" 2 "P76" "LivingRoom"
"MokeExpress" 3 "P76" "LivingRoom"
"Spoons" 4 "P76" "LivingRoom"
"SaltSub" 5 "P76" "LivingRoom"
"EggBeater" 6 "P76" "LivingRoom"
"Padella" 1 "P76" "StorageRoom"
"Typewriter" 2 "P76" "StorageRoom"
"Cabbaage" 3 "P76" "StorageRoom"
"Calculator" 4 "P76" "StorageRoom"
"PiggyBank" 5 "P76" "StorageRoom"
"OfficeBin" 6 "P76" "StorageRoom"
