BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.5,9.6,58,MilkCarton,Left
2,7,9.6,52,OfficeBin,Right
3,-3.4,9.6,52.25,MokeExpress,Left
4,-3.66,9.6,57.675,Controller,Right
5,-5.25,9.6,43.75,Avocado,Left
6,2.2,9.6,49,SaltSub,Left

