"Item" "Order" "SubjectNo" "Room"
"Headphones" 1 "P79" "Bedroom"
"Paprika" 2 "P79" "Bedroom"
"Squeezer" 3 "P79" "Bedroom"
"Padella" 4 "P79" "Bedroom"
"HandDrill" 5 "P79" "Bedroom"
"PiggyBank" 6 "P79" "Bedroom"
"MechanicalGloves" 1 "P79" "Classroom"
"Mushroom" 2 "P79" "Classroom"
"OfficeBin" 3 "P79" "Classroom"
"Controller" 4 "P79" "Classroom"
"Openner" 5 "P79" "Classroom"
"Muffin" 6 "P79" "Classroom"
"MokeExpress" 1 "P79" "Gym"
"Avocado" 2 "P79" "Gym"
"Pineapple" 3 "P79" "Gym"
"Cabbaage" 4 "P79" "Gym"
"JBLSpeaker" 5 "P79" "Gym"
"Spoons" 6 "P79" "Gym"
"NikonCamera" 1 "P79" "Library"
"MilkCarton" 2 "P79" "Library"
"Grape" 3 "P79" "Library"
"Mouse" 4 "P79" "Library"
"RugbyBall" 5 "P79" "Library"
"HTCViveController" 6 "P79" "Library"
"EggBeater" 1 "P79" "LivingRoom"
"Kettle" 2 "P79" "LivingRoom"
"SaltSub" 3 "P79" "LivingRoom"
"Calculator" 4 "P79" "LivingRoom"
"Toaster" 5 "P79" "LivingRoom"
"Teacup" 6 "P79" "LivingRoom"
"Apple" 1 "P79" "StorageRoom"
"CleaningBucket" 2 "P79" "StorageRoom"
"BaseballBat" 3 "P79" "StorageRoom"
"PencilSharpener" 4 "P79" "StorageRoom"
"Stapler" 5 "P79" "StorageRoom"
"Typewriter" 6 "P79" "StorageRoom"
