Room,BoxPos_X,BoxPos_Y,BoxPos_Z
StorageRoom,-3.691148,0.3215941,10.51594
StorageRoom,4.817732,0.31,9.045837
StorageRoom,4.766705,0.3099996,5.184461
StorageRoom,-4.738003,3.898003,1.483536
StorageRoom,3.532416,0.3100009,15.96041
StorageRoom,-2.339876,0.309999,0.7607007

