Room,BoxPos_X,BoxPos_Y,BoxPos_Z
LivingRoom,5.935897,1.773791,10.05059
LivingRoom,-0.9149002,0.3100009,16.2749
LivingRoom,4.583473,1.7691,15.91754
LivingRoom,-2.988561,0.3100003,11.28903
LivingRoom,-6.926136,0.3099995,4.467198
LivingRoom,-0.8900071,3.284626,14.7869

