Room,OutsideDuration,InsideDuration
LivingRoom,26.42496,183.4509
Bedroom,25.72928,108.8512
Gym,23.85442,111.9676
Library,25.36968,80.42083
Classroom,23.86482,132.8998
StorageRoom,24.81942,79.84401

