Room,Curiosity,Interest
StorageRoom,2,3
Museum,6,8
Library,3,4
Lounge,4,6
Kitchen,4,7
KTV,7,6
Kindergarten,3,2
Gym,4,7
Cafe,5,8
LivingRoom,4,7
Bedroom,5,7
SPA,7,9
MeetingRoom,2,2
Office,3,3
ArtStudio,8,7
Classroom,2,2

