BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.25,9.6,50,Typewriter,Right
2,-1,9.6,57,Mushroom,Right
3,-7,9.6,56,PencilSharpener,Right
4,-7.5,9.6,44,Headphones,Right
5,0.8,9.6,44.2,JBLSpeaker,Right
6,5,9.6,55,HandDrill,Right

