BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,2,9.6,43,UGGboot,Right
2,-2.25,9.6,53,StrawberryDonut,Left
3,-7,9.6,58,BallonDog,Right
4,6,9.6,51.8,Official hat,Right
5,1.6,12.55,56.7,Bread,Left
6,-7,11.02,49.5,OldRadio,Right

