Room,Curiosity,Interest
Lounge,7,6
Library,4,9
Kitchen,6,7
Classroom,3,2
KTV,6,10
Cafe,7,3
StorageRoom,2,1
MeetingRoom,6,3
Bedroom,7,8
ArtStudio,8,6
Kindergarten,7,7
Office,4,3
SPA,9,6
LivingRoom,4,3
Gym,6,2
Museum,7,4

