BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-4,9.6,43,MechanicalGloves,Left
2,-7.25,9.6,49.5,Mushroom,Left
3,-3,9.6,55,OfficeBin,Right
4,7,9.6,58,NikonCamera,Right
5,7,9.6,50.5,Squeezer,Left
6,4.7,11.871,51,SaltSub,Left

