"Item" "Order" "SubjectNo" "Room"
"Calculator" 1 "P28" "Bedroom"
"Avocado" 2 "P28" "Bedroom"
"Apple" 3 "P28" "Bedroom"
"OfficeBin" 4 "P28" "Bedroom"
"NikonCamera" 5 "P28" "Bedroom"
"Typewriter" 6 "P28" "Bedroom"
"Paprika" 1 "P28" "Classroom"
"MechanicalGloves" 2 "P28" "Classroom"
"Kettle" 3 "P28" "Classroom"
"Spoons" 4 "P28" "Classroom"
"JBLSpeaker" 5 "P28" "Classroom"
"Squeezer" 6 "P28" "Classroom"
"RugbyBall" 1 "P28" "Gym"
"Grape" 2 "P28" "Gym"
"Controller" 3 "P28" "Gym"
"Teacup" 4 "P28" "Gym"
"Toaster" 5 "P28" "Gym"
"Headphones" 6 "P28" "Gym"
"MilkCarton" 1 "P28" "Library"
"EggBeater" 2 "P28" "Library"
"Mushroom" 3 "P28" "Library"
"BaseballBat" 4 "P28" "Library"
"SaltSub" 5 "P28" "Library"
"Mouse" 6 "P28" "Library"
"Cabbaage" 1 "P28" "LivingRoom"
"CleaningBucket" 2 "P28" "LivingRoom"
"MokeExpress" 3 "P28" "LivingRoom"
"HTCViveController" 4 "P28" "LivingRoom"
"PencilSharpener" 5 "P28" "LivingRoom"
"Padella" 6 "P28" "LivingRoom"
"Muffin" 1 "P28" "StorageRoom"
"Openner" 2 "P28" "StorageRoom"
"Pineapple" 3 "P28" "StorageRoom"
"HandDrill" 4 "P28" "StorageRoom"
"PiggyBank" 5 "P28" "StorageRoom"
"Stapler" 6 "P28" "StorageRoom"
