BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,3.5,9.6,43,RugbyBall,Right
2,5,9.6,48,MechanicalGloves,Right
3,7.5,9.6,54.5,JBLSpeaker,Right
4,3.5,11.2,58.5,HTCViveController,Left
5,-4.75,9.6,53.5,Paprika,Left
6,-7.5,9.6,44,Openner,Left

