Room,OutsideDuration,InsideDuration
Bedroom,16.78658,73.14793
Library,23.05398,67.71884
Classroom,23.58459,111.9148
LivingRoom,23.2023,88.84959
StorageRoom,22.97369,70.78143
Gym,27.02609,82.86475

