BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-2.25,9.6,53,MechanicalGloves,Left
2,6,9.6,51.8,Headphones,Left
3,2,9.6,43,PiggyBank,Right
4,1.6,12.55,56.7,HandDrill,Left
5,-7,11.02,49.5,BaseballBat,Left
6,-7,9.6,58,MokeExpress,Left

