"Item" "Order" "SubjectNo" "Room"
"Calculator" 1 "P61" "Bedroom"
"Mushroom" 2 "P61" "Bedroom"
"BaseballBat" 3 "P61" "Bedroom"
"EggBeater" 4 "P61" "Bedroom"
"MokeExpress" 5 "P61" "Bedroom"
"Pineapple" 6 "P61" "Bedroom"
"Paprika" 1 "P61" "Classroom"
"HandDrill" 2 "P61" "Classroom"
"PiggyBank" 3 "P61" "Classroom"
"Mouse" 4 "P61" "Classroom"
"MechanicalGloves" 5 "P61" "Classroom"
"Padella" 6 "P61" "Classroom"
"JBLSpeaker" 1 "P61" "Gym"
"HTCViveController" 2 "P61" "Gym"
"Cabbaage" 3 "P61" "Gym"
"Apple" 4 "P61" "Gym"
"PencilSharpener" 5 "P61" "Gym"
"Squeezer" 6 "P61" "Gym"
"Grape" 1 "P61" "Library"
"MilkCarton" 2 "P61" "Library"
"Controller" 3 "P61" "Library"
"SaltSub" 4 "P61" "Library"
"Teacup" 5 "P61" "Library"
"OfficeBin" 6 "P61" "Library"
"Kettle" 1 "P61" "LivingRoom"
"RugbyBall" 2 "P61" "LivingRoom"
"Stapler" 3 "P61" "LivingRoom"
"CleaningBucket" 4 "P61" "LivingRoom"
"Headphones" 5 "P61" "LivingRoom"
"Openner" 6 "P61" "LivingRoom"
"Spoons" 1 "P61" "StorageRoom"
"Muffin" 2 "P61" "StorageRoom"
"Typewriter" 3 "P61" "StorageRoom"
"Avocado" 4 "P61" "StorageRoom"
"Toaster" 5 "P61" "StorageRoom"
"NikonCamera" 6 "P61" "StorageRoom"
