Room,OutsideDuration,InsideDuration
LivingRoom,30.90278,245.0475
Bedroom,27.29522,170.2859
Library,27.19185,86.92729
Gym,24.4847,77.83767
StorageRoom,28.19522,63.20657
Classroom,21.88151,62.03412

