"Item" "Order" "SubjectNo" "Room"
"Openner" 1 "P20" "Bedroom"
"CleaningBucket" 2 "P20" "Bedroom"
"Muffin" 3 "P20" "Bedroom"
"Squeezer" 4 "P20" "Bedroom"
"RugbyBall" 5 "P20" "Bedroom"
"Controller" 6 "P20" "Bedroom"
"Kettle" 1 "P20" "Classroom"
"Toaster" 2 "P20" "Classroom"
"Stapler" 3 "P20" "Classroom"
"Typewriter" 4 "P20" "Classroom"
"JBLSpeaker" 5 "P20" "Classroom"
"NikonCamera" 6 "P20" "Classroom"
"Pineapple" 1 "P20" "Gym"
"Paprika" 2 "P20" "Gym"
"BaseballBat" 3 "P20" "Gym"
"Mushroom" 4 "P20" "Gym"
"OfficeBin" 5 "P20" "Gym"
"Cabbaage" 6 "P20" "Gym"
"Teacup" 1 "P20" "Library"
"PiggyBank" 2 "P20" "Library"
"Mouse" 3 "P20" "Library"
"Spoons" 4 "P20" "Library"
"Avocado" 5 "P20" "Library"
"EggBeater" 6 "P20" "Library"
"Padella" 1 "P20" "LivingRoom"
"MilkCarton" 2 "P20" "LivingRoom"
"PencilSharpener" 3 "P20" "LivingRoom"
"HandDrill" 4 "P20" "LivingRoom"
"HTCViveController" 5 "P20" "LivingRoom"
"Headphones" 6 "P20" "LivingRoom"
"SaltSub" 1 "P20" "StorageRoom"
"Calculator" 2 "P20" "StorageRoom"
"Grape" 3 "P20" "StorageRoom"
"MechanicalGloves" 4 "P20" "StorageRoom"
"Apple" 5 "P20" "StorageRoom"
"MokeExpress" 6 "P20" "StorageRoom"
