BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.5,9.6,54.5,PiggyBank,Right
2,3.5,11.2,58.5,Toaster,Right
3,-4.75,9.6,53.5,BaseballBat,Right
4,-7.5,9.6,44,Typewriter,Left
5,3.5,9.6,43,NikonCamera,Left
6,5,9.6,48,Headphones,Left

