"Item" "Order" "SubjectNo" "Room"
"Controller" 1 "P33" "Bedroom"
"Mouse" 2 "P33" "Bedroom"
"Muffin" 3 "P33" "Bedroom"
"MilkCarton" 4 "P33" "Bedroom"
"RugbyBall" 5 "P33" "Bedroom"
"Grape" 6 "P33" "Bedroom"
"Mushroom" 1 "P33" "Classroom"
"EggBeater" 2 "P33" "Classroom"
"Spoons" 3 "P33" "Classroom"
"CleaningBucket" 4 "P33" "Classroom"
"SaltSub" 5 "P33" "Classroom"
"PiggyBank" 6 "P33" "Classroom"
"PencilSharpener" 1 "P33" "Gym"
"Paprika" 2 "P33" "Gym"
"Padella" 3 "P33" "Gym"
"Apple" 4 "P33" "Gym"
"Avocado" 5 "P33" "Gym"
"Kettle" 6 "P33" "Gym"
"Headphones" 1 "P33" "Library"
"JBLSpeaker" 2 "P33" "Library"
"NikonCamera" 3 "P33" "Library"
"Calculator" 4 "P33" "Library"
"Typewriter" 5 "P33" "Library"
"Squeezer" 6 "P33" "Library"
"OfficeBin" 1 "P33" "LivingRoom"
"MechanicalGloves" 2 "P33" "LivingRoom"
"Cabbaage" 3 "P33" "LivingRoom"
"Stapler" 4 "P33" "LivingRoom"
"HTCViveController" 5 "P33" "LivingRoom"
"Teacup" 6 "P33" "LivingRoom"
"HandDrill" 1 "P33" "StorageRoom"
"MokeExpress" 2 "P33" "StorageRoom"
"Toaster" 3 "P33" "StorageRoom"
"BaseballBat" 4 "P33" "StorageRoom"
"Openner" 5 "P33" "StorageRoom"
"Pineapple" 6 "P33" "StorageRoom"
