"Item" "Order" "SubjectNo" "Room"
"OfficeBin" 1 "P17" "Bedroom"
"Teacup" 2 "P17" "Bedroom"
"Stapler" 3 "P17" "Bedroom"
"Apple" 4 "P17" "Bedroom"
"PiggyBank" 5 "P17" "Bedroom"
"Mushroom" 6 "P17" "Bedroom"
"Typewriter" 1 "P17" "Classroom"
"Cabbaage" 2 "P17" "Classroom"
"Padella" 3 "P17" "Classroom"
"Openner" 4 "P17" "Classroom"
"HandDrill" 5 "P17" "Classroom"
"Headphones" 6 "P17" "Classroom"
"MokeExpress" 1 "P17" "Gym"
"Toaster" 2 "P17" "Gym"
"Calculator" 3 "P17" "Gym"
"NikonCamera" 4 "P17" "Gym"
"Kettle" 5 "P17" "Gym"
"MilkCarton" 6 "P17" "Gym"
"Spoons" 1 "P17" "Library"
"Paprika" 2 "P17" "Library"
"HTCViveController" 3 "P17" "Library"
"BaseballBat" 4 "P17" "Library"
"Mouse" 5 "P17" "Library"
"Squeezer" 6 "P17" "Library"
"SaltSub" 1 "P17" "LivingRoom"
"MechanicalGloves" 2 "P17" "LivingRoom"
"CleaningBucket" 3 "P17" "LivingRoom"
"RugbyBall" 4 "P17" "LivingRoom"
"Pineapple" 5 "P17" "LivingRoom"
"Grape" 6 "P17" "LivingRoom"
"PencilSharpener" 1 "P17" "StorageRoom"
"Avocado" 2 "P17" "StorageRoom"
"EggBeater" 3 "P17" "StorageRoom"
"Muffin" 4 "P17" "StorageRoom"
"JBLSpeaker" 5 "P17" "StorageRoom"
"Controller" 6 "P17" "StorageRoom"
