"Item" "Order" "SubjectNo" "Room"
"Mushroom" 1 "P41" "Bedroom"
"Squeezer" 2 "P41" "Bedroom"
"BaseballBat" 3 "P41" "Bedroom"
"JBLSpeaker" 4 "P41" "Bedroom"
"Pineapple" 5 "P41" "Bedroom"
"Headphones" 6 "P41" "Bedroom"
"Apple" 1 "P41" "Classroom"
"Muffin" 2 "P41" "Classroom"
"CleaningBucket" 3 "P41" "Classroom"
"SaltSub" 4 "P41" "Classroom"
"Paprika" 5 "P41" "Classroom"
"Spoons" 6 "P41" "Classroom"
"MechanicalGloves" 1 "P41" "Gym"
"Typewriter" 2 "P41" "Gym"
"HandDrill" 3 "P41" "Gym"
"Padella" 4 "P41" "Gym"
"EggBeater" 5 "P41" "Gym"
"HTCViveController" 6 "P41" "Gym"
"Openner" 1 "P41" "Library"
"Calculator" 2 "P41" "Library"
"PencilSharpener" 3 "P41" "Library"
"Cabbaage" 4 "P41" "Library"
"MokeExpress" 5 "P41" "Library"
"RugbyBall" 6 "P41" "Library"
"Kettle" 1 "P41" "LivingRoom"
"Grape" 2 "P41" "LivingRoom"
"Teacup" 3 "P41" "LivingRoom"
"Controller" 4 "P41" "LivingRoom"
"Toaster" 5 "P41" "LivingRoom"
"Mouse" 6 "P41" "LivingRoom"
"Stapler" 1 "P41" "StorageRoom"
"OfficeBin" 2 "P41" "StorageRoom"
"MilkCarton" 3 "P41" "StorageRoom"
"PiggyBank" 4 "P41" "StorageRoom"
"NikonCamera" 5 "P41" "StorageRoom"
"Avocado" 6 "P41" "StorageRoom"
