Room,Curiosity,Interest
Gym,2,5
Classroom,3,6
SPA,6,6
MeetingRoom,1,2
Kindergarten,4,5
Library,5,6
Lounge,4,6
Office,2,5
ArtStudio,4,6
Cafe,2,6
StorageRoom,1,2
Bedroom,5,3
Kitchen,5,3
LivingRoom,2,4
Museum,6,6
KTV,5,6

