BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-6,9.6,44,Toaster,Left
2,-1,12.5,57,Headphones,Right
3,7.5,11.02,58,PiggyBank,Right
4,-2.95,9.6,53,SaltSub,Right
5,-0.5,9.6,58,JBLSpeaker,Left
6,5.5,9.6,50.25,MilkCarton,Right

