Room,OutsideDuration,InsideDuration
Gym,20.13193,82.17561
StorageRoom,20.05558,58.64057
Bedroom,19.8969,57.93577
Library,20.79219,89.04045
LivingRoom,20.90059,121.3307
Classroom,20.05325,105.6788

