BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.5,11.02,58,Padella,Right
2,-0.5,9.6,58,OfficeBin,Right
3,-1,12.5,57,Cabbaage,Left
4,-6,9.6,44,RugbyBall,Right
5,-2.95,9.6,53,Headphones,Left
6,5.5,9.6,50.25,SaltSub,Left

