BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,6,9.6,51.8,BallonDog,Right
2,1.6,12.55,56.7,MosquitoRacket,Left
3,-2.25,9.6,53,Microphone,Right
4,-7,9.6,58,StrawberryDonut,Left
5,-7,11.02,49.5,NailScissors,Left
6,2,9.6,43,Glasses,Right

