"Item" "Order" "SubjectNo" "Room"
"Mushroom" 1 "P86" "Bedroom"
"Typewriter" 2 "P86" "Bedroom"
"CleaningBucket" 3 "P86" "Bedroom"
"PencilSharpener" 4 "P86" "Bedroom"
"Padella" 5 "P86" "Bedroom"
"Cabbaage" 6 "P86" "Bedroom"
"Mouse" 1 "P86" "Classroom"
"EggBeater" 2 "P86" "Classroom"
"BaseballBat" 3 "P86" "Classroom"
"Teacup" 4 "P86" "Classroom"
"NikonCamera" 5 "P86" "Classroom"
"Openner" 6 "P86" "Classroom"
"MechanicalGloves" 1 "P86" "Gym"
"Kettle" 2 "P86" "Gym"
"Headphones" 3 "P86" "Gym"
"Calculator" 4 "P86" "Gym"
"RugbyBall" 5 "P86" "Gym"
"Avocado" 6 "P86" "Gym"
"JBLSpeaker" 1 "P86" "Library"
"Paprika" 2 "P86" "Library"
"Squeezer" 3 "P86" "Library"
"Spoons" 4 "P86" "Library"
"Apple" 5 "P86" "Library"
"HandDrill" 6 "P86" "Library"
"Stapler" 1 "P86" "LivingRoom"
"Grape" 2 "P86" "LivingRoom"
"Pineapple" 3 "P86" "LivingRoom"
"OfficeBin" 4 "P86" "LivingRoom"
"HTCViveController" 5 "P86" "LivingRoom"
"MilkCarton" 6 "P86" "LivingRoom"
"Controller" 1 "P86" "StorageRoom"
"SaltSub" 2 "P86" "StorageRoom"
"Toaster" 3 "P86" "StorageRoom"
"PiggyBank" 4 "P86" "StorageRoom"
"Muffin" 5 "P86" "StorageRoom"
"MokeExpress" 6 "P86" "StorageRoom"
