Room,Curiosity,Interest
Lounge,7,6
Office,2,3
Kitchen,3,4
MeetingRoom,3,3
KTV,7,7
Library,3,6
Bedroom,5,5
Museum,6,4
ArtStudio,4,5
Kindergarten,4,5
SPA,7,7
Gym,6,5
LivingRoom,5,4
Classroom,4,2
Cafe,5,5
StorageRoom,3,2

