BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.5,9.6,58,Squeezer,Right
2,7,9.6,52,HandDrill,Left
3,-3.4,9.6,52.25,Stapler,Left
4,-5.25,9.6,43.75,Teacup,Left
5,2.2,9.6,49,HTCViveController,Right
6,-3.66,9.6,57.675,Mouse,Right

