"Item" "Order" "SubjectNo" "Room"
"Paprika" 1 "P54" "Bedroom"
"BaseballBat" 2 "P54" "Bedroom"
"MechanicalGloves" 3 "P54" "Bedroom"
"HandDrill" 4 "P54" "Bedroom"
"JBLSpeaker" 5 "P54" "Bedroom"
"Mouse" 6 "P54" "Bedroom"
"Teacup" 1 "P54" "Classroom"
"PiggyBank" 2 "P54" "Classroom"
"MokeExpress" 3 "P54" "Classroom"
"Muffin" 4 "P54" "Classroom"
"MilkCarton" 5 "P54" "Classroom"
"Pineapple" 6 "P54" "Classroom"
"Stapler" 1 "P54" "Gym"
"NikonCamera" 2 "P54" "Gym"
"Grape" 3 "P54" "Gym"
"Toaster" 4 "P54" "Gym"
"HTCViveController" 5 "P54" "Gym"
"Squeezer" 6 "P54" "Gym"
"SaltSub" 1 "P54" "Library"
"Avocado" 2 "P54" "Library"
"Cabbaage" 3 "P54" "Library"
"Mushroom" 4 "P54" "Library"
"EggBeater" 5 "P54" "Library"
"Spoons" 6 "P54" "Library"
"PencilSharpener" 1 "P54" "LivingRoom"
"Calculator" 2 "P54" "LivingRoom"
"Typewriter" 3 "P54" "LivingRoom"
"Padella" 4 "P54" "LivingRoom"
"Kettle" 5 "P54" "LivingRoom"
"Headphones" 6 "P54" "LivingRoom"
"CleaningBucket" 1 "P54" "StorageRoom"
"RugbyBall" 2 "P54" "StorageRoom"
"Controller" 3 "P54" "StorageRoom"
"Openner" 4 "P54" "StorageRoom"
"Apple" 5 "P54" "StorageRoom"
"OfficeBin" 6 "P54" "StorageRoom"
