"Item" "Order" "SubjectNo" "Room"
"Squeezer" 1 "P39" "Bedroom"
"Cabbaage" 2 "P39" "Bedroom"
"JBLSpeaker" 3 "P39" "Bedroom"
"MilkCarton" 4 "P39" "Bedroom"
"BaseballBat" 5 "P39" "Bedroom"
"Toaster" 6 "P39" "Bedroom"
"Calculator" 1 "P39" "Classroom"
"Avocado" 2 "P39" "Classroom"
"Mouse" 3 "P39" "Classroom"
"CleaningBucket" 4 "P39" "Classroom"
"PiggyBank" 5 "P39" "Classroom"
"Openner" 6 "P39" "Classroom"
"Muffin" 1 "P39" "Gym"
"Apple" 2 "P39" "Gym"
"Controller" 3 "P39" "Gym"
"Padella" 4 "P39" "Gym"
"EggBeater" 5 "P39" "Gym"
"HandDrill" 6 "P39" "Gym"
"Headphones" 1 "P39" "Library"
"Spoons" 2 "P39" "Library"
"Pineapple" 3 "P39" "Library"
"NikonCamera" 4 "P39" "Library"
"Mushroom" 5 "P39" "Library"
"Teacup" 6 "P39" "Library"
"MokeExpress" 1 "P39" "LivingRoom"
"MechanicalGloves" 2 "P39" "LivingRoom"
"Typewriter" 3 "P39" "LivingRoom"
"Grape" 4 "P39" "LivingRoom"
"Stapler" 5 "P39" "LivingRoom"
"Paprika" 6 "P39" "LivingRoom"
"Kettle" 1 "P39" "StorageRoom"
"SaltSub" 2 "P39" "StorageRoom"
"HTCViveController" 3 "P39" "StorageRoom"
"PencilSharpener" 4 "P39" "StorageRoom"
"RugbyBall" 5 "P39" "StorageRoom"
"OfficeBin" 6 "P39" "StorageRoom"
