BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-6,9.6,44,Router,Right
2,-1,12.5,57,Glasses,Left
3,-0.5,9.6,58,Pumpkin,Left
4,-2.95,9.6,53,Laptop,Right
5,7.5,11.02,58,Matrioshka,Left
6,5.5,9.6,50.25,CokeCan,Left

