Room,Curiosity,Interest
Office,5,7
Library,9,9
Museum,8,3
Gym,7,7
KTV,10,9
StorageRoom,6,2
Cafe,3,5
Bedroom,2,7
Kindergarten,5,6
Kitchen,4,7
MeetingRoom,1,2
Classroom,5,3
ArtStudio,5,7
LivingRoom,3,5
SPA,9,4
Lounge,8,5

