"Item" "Order" "SubjectNo" "Room"
"Typewriter" 1 "P84" "Bedroom"
"Squeezer" 2 "P84" "Bedroom"
"Openner" 3 "P84" "Bedroom"
"MechanicalGloves" 4 "P84" "Bedroom"
"Kettle" 5 "P84" "Bedroom"
"Paprika" 6 "P84" "Bedroom"
"Calculator" 1 "P84" "Classroom"
"EggBeater" 2 "P84" "Classroom"
"PencilSharpener" 3 "P84" "Classroom"
"JBLSpeaker" 4 "P84" "Classroom"
"MokeExpress" 5 "P84" "Classroom"
"Pineapple" 6 "P84" "Classroom"
"Stapler" 1 "P84" "Gym"
"Grape" 2 "P84" "Gym"
"NikonCamera" 3 "P84" "Gym"
"Spoons" 4 "P84" "Gym"
"Avocado" 5 "P84" "Gym"
"MilkCarton" 6 "P84" "Gym"
"Apple" 1 "P84" "Library"
"BaseballBat" 2 "P84" "Library"
"Toaster" 3 "P84" "Library"
"PiggyBank" 4 "P84" "Library"
"HandDrill" 5 "P84" "Library"
"Mushroom" 6 "P84" "Library"
"Padella" 1 "P84" "LivingRoom"
"OfficeBin" 2 "P84" "LivingRoom"
"Cabbaage" 3 "P84" "LivingRoom"
"RugbyBall" 4 "P84" "LivingRoom"
"Headphones" 5 "P84" "LivingRoom"
"SaltSub" 6 "P84" "LivingRoom"
"Controller" 1 "P84" "StorageRoom"
"CleaningBucket" 2 "P84" "StorageRoom"
"Mouse" 3 "P84" "StorageRoom"
"Muffin" 4 "P84" "StorageRoom"
"Teacup" 5 "P84" "StorageRoom"
"HTCViveController" 6 "P84" "StorageRoom"
