"Item" "Order" "SubjectNo" "Room"
"Calculator" 1 "P14" "Bedroom"
"NikonCamera" 2 "P14" "Bedroom"
"MokeExpress" 3 "P14" "Bedroom"
"Apple" 4 "P14" "Bedroom"
"Grape" 5 "P14" "Bedroom"
"MilkCarton" 6 "P14" "Bedroom"
"Controller" 1 "P14" "Classroom"
"RugbyBall" 2 "P14" "Classroom"
"Padella" 3 "P14" "Classroom"
"BaseballBat" 4 "P14" "Classroom"
"Spoons" 5 "P14" "Classroom"
"Stapler" 6 "P14" "Classroom"
"Typewriter" 1 "P14" "Gym"
"Mushroom" 2 "P14" "Gym"
"PencilSharpener" 3 "P14" "Gym"
"Headphones" 4 "P14" "Gym"
"JBLSpeaker" 5 "P14" "Gym"
"HandDrill" 6 "P14" "Gym"
"Kettle" 1 "P14" "Library"
"Mouse" 2 "P14" "Library"
"Squeezer" 3 "P14" "Library"
"Pineapple" 4 "P14" "Library"
"Avocado" 5 "P14" "Library"
"Teacup" 6 "P14" "Library"
"MechanicalGloves" 1 "P14" "LivingRoom"
"OfficeBin" 2 "P14" "LivingRoom"
"EggBeater" 3 "P14" "LivingRoom"
"Muffin" 4 "P14" "LivingRoom"
"HTCViveController" 5 "P14" "LivingRoom"
"PiggyBank" 6 "P14" "LivingRoom"
"Cabbaage" 1 "P14" "StorageRoom"
"Paprika" 2 "P14" "StorageRoom"
"Toaster" 3 "P14" "StorageRoom"
"Openner" 4 "P14" "StorageRoom"
"CleaningBucket" 5 "P14" "StorageRoom"
"SaltSub" 6 "P14" "StorageRoom"
