Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
StorageRoom,Controller,-7.297656,1.3,16.27296
StorageRoom,SaltSub,-2.196474,0.3,10.11653
StorageRoom,Toaster,5.390887,0.3,8.014017
StorageRoom,PiggyBank,-4.919013,3,0.9315295
StorageRoom,Muffin,-4.507205,0.3,11.42168
StorageRoom,MokeExpress,3.252388,2,16.38855

