Room,BoxPos_X,BoxPos_Y,BoxPos_Z
LivingRoom,-3.120858,0.3100003,10.89147
LivingRoom,-0.7218741,3.284626,14.72558
LivingRoom,7.276788,1.7691,15.49236
LivingRoom,-6.707503,0.3100005,12.54226
LivingRoom,-6.005171,0.3099998,7.09305
LivingRoom,-2.329988,0.3099994,3.872598

