BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,0.8,9.6,44.2,Padella,Right
2,-7,9.6,56,MokeExpress,Left
3,7.25,9.6,50,Stapler,Left
4,-1,9.6,57,Typewriter,Right
5,5,9.6,55,EggBeater,Right
6,-7.5,9.6,44,Muffin,Left

