Room,Curiosity,Interest
Kitchen,7,5
Classroom,6,3
KTV,8,7
StorageRoom,2,3
Bedroom,4,6
Gym,6,6
Lounge,8,5
LivingRoom,7,5
Office,6,4
Museum,9,5
Cafe,7,4
SPA,6,9
Library,6,6
ArtStudio,7,6
Kindergarten,8,7
MeetingRoom,3,2

