"Item" "Order" "SubjectNo" "Room"
"Kettle" 1 "P56" "Bedroom"
"RugbyBall" 2 "P56" "Bedroom"
"SaltSub" 3 "P56" "Bedroom"
"Mouse" 4 "P56" "Bedroom"
"Cabbaage" 5 "P56" "Bedroom"
"Squeezer" 6 "P56" "Bedroom"
"Avocado" 1 "P56" "Classroom"
"EggBeater" 2 "P56" "Classroom"
"Calculator" 3 "P56" "Classroom"
"Toaster" 4 "P56" "Classroom"
"Paprika" 5 "P56" "Classroom"
"Spoons" 6 "P56" "Classroom"
"Stapler" 1 "P56" "Gym"
"Padella" 2 "P56" "Gym"
"Typewriter" 3 "P56" "Gym"
"HTCViveController" 4 "P56" "Gym"
"PiggyBank" 5 "P56" "Gym"
"MilkCarton" 6 "P56" "Gym"
"MokeExpress" 1 "P56" "Library"
"Apple" 2 "P56" "Library"
"Mushroom" 3 "P56" "Library"
"CleaningBucket" 4 "P56" "Library"
"MechanicalGloves" 5 "P56" "Library"
"NikonCamera" 6 "P56" "Library"
"Teacup" 1 "P56" "LivingRoom"
"Controller" 2 "P56" "LivingRoom"
"Muffin" 3 "P56" "LivingRoom"
"PencilSharpener" 4 "P56" "LivingRoom"
"OfficeBin" 5 "P56" "LivingRoom"
"Openner" 6 "P56" "LivingRoom"
"Grape" 1 "P56" "StorageRoom"
"BaseballBat" 2 "P56" "StorageRoom"
"JBLSpeaker" 3 "P56" "StorageRoom"
"Pineapple" 4 "P56" "StorageRoom"
"Headphones" 5 "P56" "StorageRoom"
"HandDrill" 6 "P56" "StorageRoom"
