BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.25,9.6,50,Stapler,Right
2,-1,9.6,57,Grape,Left
3,-7,9.6,56,NikonCamera,Right
4,-7.5,9.6,44,Spoons,Left
5,0.8,9.6,44.2,Avocado,Right
6,5,9.6,55,MilkCarton,Right

