BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-4,9.6,43,Kettle,Right
2,-7.25,9.6,49.5,Toaster,Left
3,-3,9.6,55,Stapler,Right
4,7,9.6,58,Typewriter,Right
5,7,9.6,50.5,JBLSpeaker,Left
6,4.7,11.871,51,NikonCamera,Left

