BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-2.95,9.6,53,Padella,Left
2,-1,12.5,57,MilkCarton,Right
3,-0.5,9.6,58,PencilSharpener,Left
4,7.5,11.02,58,HandDrill,Left
5,-6,9.6,44,HTCViveController,Left
6,5.5,9.6,50.25,Headphones,Right

