Room,OutsideDuration,InsideDuration
StorageRoom,25.2293,8.798893
Library,26.88394,21.20325
KTV,25.06072,32.74165
LivingRoom,23.75652,43.6795
MeetingRoom,24.84004,18.72922
SPA,24.60558,25.20901
Kindergarten,25.46656,21.86986
Kitchen,25.11302,33.37566
Cafe,24.79459,40.46122
Gym,24.14757,24.09932
Bedroom,23.93235,47.55015
Lounge,24.00954,29.38404
Museum,27.13247,23.63848
Office,24.78633,16.56525
ArtStudio,23.73038,54.80033
Classroom,23.4758,34.2499

