"Item" "Order" "SubjectNo" "Room"
"Mouse" 1 "P37" "Bedroom"
"Grape" 2 "P37" "Bedroom"
"Avocado" 3 "P37" "Bedroom"
"SaltSub" 4 "P37" "Bedroom"
"Mushroom" 5 "P37" "Bedroom"
"Paprika" 6 "P37" "Bedroom"
"Padella" 1 "P37" "Classroom"
"Headphones" 2 "P37" "Classroom"
"OfficeBin" 3 "P37" "Classroom"
"EggBeater" 4 "P37" "Classroom"
"Openner" 5 "P37" "Classroom"
"HTCViveController" 6 "P37" "Classroom"
"BaseballBat" 1 "P37" "Gym"
"CleaningBucket" 2 "P37" "Gym"
"Typewriter" 3 "P37" "Gym"
"Spoons" 4 "P37" "Gym"
"Cabbaage" 5 "P37" "Gym"
"HandDrill" 6 "P37" "Gym"
"NikonCamera" 1 "P37" "Library"
"Stapler" 2 "P37" "Library"
"MokeExpress" 3 "P37" "Library"
"RugbyBall" 4 "P37" "Library"
"Pineapple" 5 "P37" "Library"
"Muffin" 6 "P37" "Library"
"Toaster" 1 "P37" "LivingRoom"
"Kettle" 2 "P37" "LivingRoom"
"Squeezer" 3 "P37" "LivingRoom"
"PiggyBank" 4 "P37" "LivingRoom"
"Calculator" 5 "P37" "LivingRoom"
"Apple" 6 "P37" "LivingRoom"
"Controller" 1 "P37" "StorageRoom"
"PencilSharpener" 2 "P37" "StorageRoom"
"Teacup" 3 "P37" "StorageRoom"
"MilkCarton" 4 "P37" "StorageRoom"
"MechanicalGloves" 5 "P37" "StorageRoom"
"JBLSpeaker" 6 "P37" "StorageRoom"
