Room,Curiosity,Interest
StorageRoom,7,2
Gym,4,6
Office,1,3
Cafe,7,7
Library,8,9
LivingRoom,5,6
Classroom,6,2
Kitchen,7,6
Kindergarten,8,6
MeetingRoom,2,1
Bedroom,3,5
KTV,9,9
Lounge,3,2
Museum,7,5
ArtStudio,9,8
SPA,8,9

